epoch,GPU,batchNum,modelCutID_T,allDelay,SendSrunModelReci,CModelDelay
1,0,1,0,2737,2735,2
1,0,1,1,16286,16261,25
1,0,1,2,16099,15938,161
1,0,1,3,5414,5226,188
1,0,1,4,9152,8888,264
1,0,1,5,9062,8732,330
1,0,1,6,4035,3681,354
1,0,1,7,5933,5506,427
1,0,1,8,5299,4831,468
1,0,1,9,5350,4776,574
1,0,1,10,2834,2291,543
1,0,1,11,3641,3000,641
1,0,1,12,3328,2715,613
1,0,1,13,3321,2640,681
1,0,1,14,2222,1510,712
1,0,1,15,2186,1418,768
1,0,1,16,2012,1273,739
1,0,1,17,2066,1271,795
1,0,1,18,1875,1067,808
1,0,1,19,1717,240,1477
1,0,1,20,1797,149,1648
1,0,1,21,1770,125,1645
1,0,1,22,1756,127,1629
1,1,1,0,4696,4613,83
1,1,1,1,15804,15782,22
1,1,1,2,15557,15403,154
1,1,1,3,5028,4841,187
1,1,1,4,8375,8136,239
1,1,1,5,8523,8191,332
1,1,1,6,3492,3129,363
1,1,1,7,4974,4577,397
1,1,1,8,5115,4658,457
1,1,1,9,5114,4581,533
1,1,1,10,2682,2148,534
1,1,1,11,3415,2860,555
1,1,1,12,3363,2750,612
1,1,1,13,3498,2812,686
1,1,1,14,2401,1716,685
1,1,1,15,2220,1510,710
1,1,1,16,2252,1521,731
1,1,1,17,2256,1481,775
1,1,1,18,2077,1285,792
1,1,1,19,1814,350,1464
1,1,1,20,1734,144,1590
1,1,1,21,1804,144,1660
1,1,1,22,1790,128,1662
1,0,2,0,3545,3464,81
1,0,2,1,30520,30486,34
1,0,2,2,30495,30311,184
1,0,2,3,9432,9185,247
1,0,2,4,15830,15544,286
1,0,2,5,15830,15424,406
1,0,2,6,5687,5261,426
1,0,2,7,8705,8220,485
1,0,2,8,8739,8198,541
1,0,2,9,8826,8184,642
1,0,2,10,3916,3260,656
1,0,2,11,5203,4490,713
1,0,2,12,5188,4392,796
1,0,2,13,5095,4269,826
1,0,2,14,2811,1966,845
1,0,2,15,2724,1830,894
1,0,2,16,2595,1705,890
1,0,2,17,2500,1584,916
1,0,2,18,2124,1189,935
1,0,2,19,1928,271,1657
1,0,2,20,2005,177,1828
1,0,2,21,1964,129,1835
1,0,2,22,1941,132,1809
1,1,2,0,2676,2554,122
1,1,2,1,30137,30104,33
1,1,2,2,29672,29488,184
1,1,2,3,8856,8604,252
1,1,2,4,15506,15208,298
1,1,2,5,15405,15008,397
1,1,2,6,5474,5041,433
1,1,2,7,8434,7952,482
1,1,2,8,8569,8037,532
1,1,2,9,8652,8011,641
1,1,2,10,3827,3199,628
1,1,2,11,5025,4330,695
1,1,2,12,5080,4346,734
1,1,2,13,5132,4341,791
1,1,2,14,3052,2177,875
1,1,2,15,2710,1822,888
1,1,2,16,2803,1943,860
1,1,2,17,3028,2060,968
1,1,2,18,2380,1495,885
1,1,2,19,1951,286,1665
1,1,2,20,1989,178,1811
1,1,2,21,1946,131,1815
1,1,2,22,1959,151,1808
1,0,3,0,4193,4072,121
1,0,3,1,47505,47461,44
1,0,3,2,47015,46766,249
1,0,3,3,13139,12838,301
1,0,3,4,22821,22466,355
1,0,3,5,23389,22913,476
1,0,3,6,7957,7460,497
1,0,3,7,13112,12567,545
1,0,3,8,12161,11547,614
1,0,3,9,12062,11353,709
1,0,3,10,4855,4129,726
1,0,3,11,6712,5919,793
1,0,3,12,6721,5858,863
1,0,3,13,6812,5892,920
1,0,3,14,3559,2617,942
1,0,3,15,3005,2042,963
1,0,3,16,3106,2092,1014
1,0,3,17,3053,2046,1007
1,0,3,18,2332,1278,1054
1,0,3,19,2120,294,1826
1,0,3,20,2074,175,1899
1,0,3,21,2045,150,1895
1,0,3,22,2133,136,1997
1,1,3,0,3509,3353,156
1,1,3,1,43668,43630,38
1,1,3,2,44259,44044,215
1,1,3,3,12164,11894,270
1,1,3,4,22784,22432,352
1,1,3,5,22437,21960,477
1,1,3,6,7080,6559,521
1,1,3,7,11761,11201,560
1,1,3,8,12235,11592,643
1,1,3,9,12408,11707,701
1,1,3,10,4695,3945,750
1,1,3,11,6750,5986,764
1,1,3,12,6725,5902,823
1,1,3,13,6739,5825,913
1,1,3,14,3530,2545,985
1,1,3,15,3101,2136,965
1,1,3,16,3190,2159,1031
1,1,3,17,3205,2164,1041
1,1,3,18,2494,1474,1020
1,1,3,19,1994,290,1704
1,1,3,20,2035,182,1853
1,1,3,21,2056,135,1921
1,1,3,22,2064,135,1929
1,0,4,0,5060,4900,160
1,0,4,1,59672,59614,58
1,0,4,2,60892,60633,259
1,0,4,3,16861,16489,372
1,0,4,4,30022,29627,395
1,0,4,5,32387,31774,613
1,0,4,6,9654,9084,570
1,0,4,7,15803,15194,609
1,0,4,8,15928,15215,713
1,0,4,9,17258,16464,794
1,0,4,10,6204,5389,815
1,0,4,11,9100,8202,898
1,0,4,12,9262,8261,1001
1,0,4,13,9118,8056,1062
1,0,4,14,4223,3062,1161
1,0,4,15,3926,2813,1113
1,0,4,16,4274,2995,1279
1,0,4,17,4386,2987,1399
1,0,4,18,2863,1591,1272
1,0,4,19,2233,313,1920
1,0,4,20,2260,209,2051
1,0,4,21,2256,139,2117
1,0,4,22,2255,137,2118
1,1,4,0,4338,4137,201
1,1,4,1,58450,58399,51
1,1,4,2,57945,57702,243
1,1,4,3,15952,15622,330
1,1,4,4,29976,29580,396
1,1,4,5,29583,29052,531
1,1,4,6,8919,8348,571
1,1,4,7,15447,14832,615
1,1,4,8,15388,14673,715
1,1,4,9,15389,14547,842
1,1,4,10,5616,4783,833
1,1,4,11,8310,7455,855
1,1,4,12,8309,7383,926
1,1,4,13,8432,7376,1056
1,1,4,14,4160,3108,1052
1,1,4,15,3631,2587,1044
1,1,4,16,3628,2509,1119
1,1,4,17,3577,2431,1146
1,1,4,18,2723,1592,1131
1,1,4,19,2189,313,1876
1,1,4,20,2208,203,2005
1,1,4,21,2193,134,2059
1,1,4,22,2172,135,2037
1,0,5,0,5675,5468,207
1,0,5,1,72852,72773,79
1,0,5,2,74465,74037,428
1,0,5,3,20269,19723,546
1,0,5,4,36893,36239,654
1,0,5,5,38847,37988,859
1,0,5,6,11566,10671,895
1,0,5,7,19265,18294,971
1,0,5,8,19479,18329,1150
1,0,5,9,19622,18345,1277
1,0,5,10,7182,5886,1296
1,0,5,11,10588,9216,1372
1,0,5,12,10630,9059,1571
1,0,5,13,10339,8776,1563
1,0,5,14,5065,3452,1613
1,0,5,15,4429,2719,1710
1,0,5,16,4507,2749,1758
1,0,5,17,4458,2635,1823
1,0,5,18,3340,1508,1832
1,0,5,19,2896,430,2466
1,0,5,20,2815,212,2603
1,0,5,21,2765,146,2619
1,0,5,22,2842,165,2677
1,1,5,0,5007,4774,233
1,1,5,1,72615,72543,72
1,1,5,2,72361,71975,386
1,1,5,3,19817,19311,506
1,1,5,4,36663,36048,615
1,1,5,5,36389,35538,851
1,1,5,6,11077,10194,883
1,1,5,7,18597,17637,960
1,1,5,8,18896,17756,1140
1,1,5,9,19255,17925,1330
1,1,5,10,7041,5724,1317
1,1,5,11,10281,8885,1396
1,1,5,12,10316,8838,1478
1,1,5,13,10380,8807,1573
1,1,5,14,5035,3448,1587
1,1,5,15,4425,2764,1661
1,1,5,16,4483,2777,1706
1,1,5,17,4534,2789,1745
1,1,5,18,3513,1753,1760
1,1,5,19,2754,331,2423
1,1,5,20,2770,210,2560
1,1,5,21,2784,151,2633
1,1,5,22,2758,144,2614
2,0,1,0,3057,2829,228
2,0,1,1,16090,16065,25
2,0,1,2,15883,15733,150
2,0,1,3,5992,5803,189
2,0,1,4,8902,8645,257
2,0,1,5,8948,8601,347
2,0,1,6,3739,3383,356
2,0,1,7,5204,4797,407
2,0,1,8,5361,4851,510
2,0,1,9,5287,4758,529
2,0,1,10,2787,2239,548
2,0,1,11,3345,2764,581
2,0,1,12,3304,2653,651
2,0,1,13,3381,2646,735
2,0,1,14,2211,1486,725
2,0,1,15,2148,1412,736
2,0,1,16,2176,1422,753
2,0,1,17,2069,1278,791
2,0,1,18,1905,1077,828
2,0,1,19,1694,252,1442
2,0,1,20,1789,150,1639
2,0,1,21,1734,128,1606
2,0,1,22,1765,126,1639
2,1,1,0,2047,1964,83
2,1,1,1,15164,15143,21
2,1,1,2,15506,15360,146
2,1,1,3,4915,4731,184
2,1,1,4,8314,8074,240
2,1,1,5,8452,8114,338
2,1,1,6,3464,3114,350
2,1,1,7,4943,4559,384
2,1,1,8,5004,4544,460
2,1,1,9,5065,4538,527
2,1,1,10,2662,2132,530
2,1,1,11,3307,2723,584
2,1,1,12,3355,2740,615
2,1,1,13,3378,2706,672
2,1,1,14,2300,1609,691
2,1,1,15,2182,1489,693
2,1,1,16,2239,1517,722
2,1,1,17,2207,1478,729
2,1,1,18,2057,1288,769
2,1,1,19,1687,249,1438
2,1,1,20,1759,153,1606
2,1,1,21,1752,130,1622
2,1,1,22,1766,125,1641
2,0,2,0,3451,3363,88
2,0,2,1,30451,30418,33
2,0,2,2,30354,30165,189
2,0,2,3,9493,9238,255
2,0,2,4,15858,15555,303
2,0,2,5,15723,15307,416
2,0,2,6,5715,5262,453
2,0,2,7,8517,8028,489
2,0,2,8,8665,8079,586
2,0,2,9,8640,7998,642
2,0,2,10,3800,3141,659
2,0,2,11,5083,4392,691
2,0,2,12,4946,4220,726
2,0,2,13,5032,4167,865
2,0,2,14,2828,1971,857
